,contenido,reply,retweet,like
0,"Nuestro proyecto de Ley Orgánica de Libre Expresión y Comunicación garantiza un ECUADOR LIBRE.

Estamos comprometidos con el derecho a la libertad de todos los ecuatorianos. 

#GobiernoDelEncuentro
#JuntosLoLogramos",268,597,2 mil
1,"Hoy envié a la Asamblea Nacional el proyecto de Ley Orgánica de Libre Expresión y Comunicación. Estamos comprometidos con un ECUADOR LIBRE, donde el derecho a la libertad de expresión esté plenamente garantizado. 

#GobiernoDelEncuentro
#JuntosLoLogramos",498,1000,"5,1 mil"
2,Organización gubernamental de Ecuador,169,558,"4,5 mil"
3,"Hoy tuve la oportunidad de dialogar con 
@leopoldolopez
 y 
@liliantintori
, grandes líderes venezolanos comprometidos con la libertad y la democracia en la región. Agradezco su visita, Ecuador siempre tendrá sus puertas abiertas. 

#GobiernoDelEncuentro
#JuntosLoLogramos",581,880,"4,3 mil"
4,"Fue un honor recibir a representantes de 
@USembassyEC
 y 
@USAmbUN
, quien lidera la comitiva de EEUU. Estamos comprometidos con fortalecer las relaciones entre nuestros países. La cooperación es el camino para lograr bienestar en Ecuador.

#GobiernoDelEncuentro 
#JuntosLoLogramos",207,639,"2,9 mil"
5,"El principio es “no dejar a nadie atrás”, lo que pone a la inclusión de los ciudadanos como la prioridad en la gestión del #GobiernoDelEncuentro.

#JuntosLoLogramos ",368,1100,"5,8 mil"
6,"Las causas del #GobiernoDelEncuentro serán las causas de la gente. Que la voluntad del Gobierno, será la voluntad del pueblo, movido por los mismos objetivos y las mismas esperanzas. 

Nuestra intención es maximizar la capacidad para servir al Ecuador.

#JuntosLoLogramos ",262,876,"3,5 mil"
7,Fue un honor recibir al Rey Felipe VI de España. Encuentros como este son fundamentales para fortalecer la relación entre nuestros países. Nuestro objetivo es brindar oportunidades de bienestar y prosperidad para todos. ,375,1300,"8,9 mil"
8,"Hoy mantuve una reunión con el Presidente de Haití 
@moisejovenel
, quien asistirá mañana a la ceremonia de cambio de mando. Una reunión bilateral productiva, que fortalecerá la relación entre nuestros países para lograr bienestar. ",268,781,"5,7 mil"
9,"Recibiendo la carta de felicitación de la Reina Isabel II del Reino Unido, de manos del Embajador 
@HMACampbell
. Agradezco este noble gesto y reitero mi compromiso de fortalecer los lazos de amistad. ",825,3000,"14,8 mil"
10,"El Ministerio de Gobierno estará a cargo de 
@CesarMongeO
, una persona admirable y compañero de lucha incondicional. Trabajaremos incansablemente por construir un país de paz, donde todos los ecuatorianos puedan crecer seguros y con oportunidades. ",113,490,"2,2 mil"
11,"El Secretario Jurídico de la Presidencia será 
@fabianpozo
, un excelente abogado e investigador, comprometido con el futuro del Ecuador. Hoy se une al Gobierno del Encuentro para trabajar con la gente en proyectos de ley y reformas normativas que logren bienestar y prosperidad. ",210,968,"5,3 mil"
12,"El Gobierno del encuentro. 

Aquí los ministros y ministras designados, listos para empezar el camino hacia un Ecuador de oportunidades, moderno y abierto al mundo. 

¡4 días para el 24 de Mayo!",48,292,"1,4 mil"
13,"Con 
@jmerchanhaz
 iniciamos en 2008 este trabajo para elaborar un Plan de Gobierno solidario. Hoy, tengo el orgullo de anunciar que será Secretario de Planifica Ecuador. Confío en su liderazgo y capacidad para la implementación de políticas públicas efectivas para el desarrollo.",784,2600,"16,1 mil"
14,"Un compañero de ruta, quien ha dirigido el tanque de pensamiento 
@ecuadorlibre
 y la elaboración de los Planes de Gobierno, se une como Consejero Presidencial. 
@AparicioCaicedo
 es una gran guía para este proyecto político. Hoy pone sus capacidades al servicio del país.",1100.0,3800,"23,8 mil"
15,"En el Gobierno del encuentro, 
@MarceloHCabrera
 se unirá como Ministro de Transporte y Obras Públicas. Tendrá a su cargo una importante cartera de Estado para promover oportunidades de crecimiento y modernización. Impulsaremos la reactivación y obras de desarrollo. ",227,1300,"5,7 mil"
16,"Como demócrata, creo en la belleza de los sueños y su poder para inspirarnos. Creo en el derecho que tenemos a un entorno donde podamos dar lo mejor de nuestros talentos. 

En esta credencial vive la voluntad de un pueblo que se decidió por el cambio.

#ElEcuadorDelEncuentro ",77,584,"2,6 mil"
17,"Es con profunda emoción que hoy he venido hasta aquí acompañado de mi esposa María de Lourdes, mis hijos y mi familia. Muchas gracias por estar en los momentos más difíciles. Ellos han hecho este recorrido conmigo, sosteniéndome en cada paso con su apoyo incondicional.",83,538,"2,1 mil"
18,"El 47% votó por justicia económica, social y política. Por un país más equitativo y más solidario, valores y principios que compartimos. 
 
Pero no es cierto que hayan votado por la impunidad, ni por la corrupción, ni por la intromisión en decisiones judiciales.",156,1100,"4,9 mil"
19,"El 11 de Abril, Ecuador expresó su voluntad de cambiar. Muchos vinieron con el regalo de la gobernabilidad, hablaron del 47% que no votó por nosotros. Nunca aceptaré que se use a esos ecuatorianos y sus justísimos anhelos como moneda de cambio en un trueque político.",1100.0,5700,"26,4 mil"
20,"Las credenciales de Presidente de la República representan sueños, ideas y la confianza de todo un país que anhela bienestar. 

Estoy aquí, dispuesto a trabajar con el mismo idealismo que ha guiado mi lucha desde la niñez.

¡ECUADOR DECIDIÓ CAMBIAR! ",125,620,"3,6 mil"
21,"Hoy celebramos la exitosa culminación de un proceso electoral que se llevó a cabo de forma eficiente. Agradezco a las instituciones involucradas y a cada ecuatoriano que ejerció su derecho al voto. Como ciudadano, les digo GRACIAS de corazón por esta jornada democrática. ",67,363,"2,1 mil"
22,"En #ElEcuadorDelEncuentro vamos a crear oportunidades para lograr la prosperidad de todas las familias ecuatorianas. 

Nuestra meta es un país moderno, con libertad para emprender, atraer inversión y generar empleo. ",120,663,"3,8 mil"
23,"Pronto empezamos el recorrido hacia un mejor Ecuador, uno con empleo, bienestar y seguridad para todos. 

¡El cambio lo logramos juntos! ",792,2800,"18,8 mil"
24,Nuestras más sinceras condolencias a la familia de Juan Eljuri por esta dolorosa pérdida. Que en paz descanse.,135,709,"5,1 mil"
25,"Desde el Ministerio de Salud Pública, 
@XimenaGarzon11
 trabajará por vacunar a los ecuatorianos y fortalecer la atención en hospitales y centros de salud a nivel nacional. 

El sistema de salud en Ecuador será eficiente y transparente.  

#EncontrémonosPorLaSalud",96,305,"2,8 mil"
